Localidade,GEOCODIGO,temp1,temp2,2007,2016,Aumento (%)
Senador Guiomard,1200450,"33,0","200,0",33,200,491.1764706
Sena Madureira,1200500,"39,0","207,0",39,207,420
Tarauacá,1200609,"38,0","262,0",38,262,574.3589744
Xapuri,1200708,"14,0","85,0",14,85,473.3333333
Porto Acre,1200807,"22,0","135,0",22,135,491.3043478
Alvarães,1300029,"1,0","51,0",1,51,2500
Amaturá,1300060,"0,0","48,0",0,48,4800
Anamã,1300086,"31,0","37,0",31,37,18.75
Anori,1300102,"4,0","43,0",4,43,780
Apuí,1300144,"13,0","67,0",13,67,385.7142857
Atalaia do Norte,1300201,"2,0","39,0",2,39,1233.333333
Autazes,1300300,"12,0","86,0",12,86,569.2307692
Barcelos,1300409,"3,0","31,0",3,31,700
Barreirinha,1300508,"9,0","214,0",9,214,2050
Benjamin Constant,1300607,"33,0","116,0",33,116,244.1176471
Beruri,1300631,"1,0","13,0",1,13,600
Boa Vista do Ramos,1300680,"15,0","116,0",15,116,631.25
Boca do Acre,1300706,"13,0","59,0",13,59,328.5714286
Borba,1300805,"2,0","58,0",2,58,1866.666667
Caapiranga,1300839,"8,0","107,0",8,107,1100
Canutama,1300904,"55,0","16,0",55,16,-69.64285714
Carauari,1301001,"13,0","142,0",13,142,921.4285714
Careiro,1301100,"3,0","51,0",3,51,1200
Careiro da Várzea,1301159,"6,0","50,0",6,50,628.5714286
Coari,1301209,"23,0","190,0",23,190,695.8333333
Codajás,1301308,"0,0","64,0",0,64,6400
Eirunepé,1301407,"0,0","92,0",0,92,9200
Envira,1301506,"3,0","15,0",3,15,300
Fonte Boa,1301605,"1,0","32,0",1,32,1550
Guajará,1301654,"0,0","59,0",0,59,5900
Humaitá,1301704,"12,0","134,0",12,134,938.4615385
Ipixuna,1301803,"2,0","14,0",2,14,400
Iranduba,1301852,"85,0","135,0",85,135,58.13953488
Itacoatiara,1301902,"35,0","262,0",35,262,630.5555556
Itamarati,1301951,"0,0","7,0",0,7,700
Itapiranga,1302009,"12,0","24,0",12,24,92.30769231
Japurá,1302108,"0,0","15,0",0,15,1500
Juruá,1302207,"0,0","32,0",0,32,3200
Jutaí,1302306,"1,0","53,0",1,53,2600
Lábrea,1302405,"13,0","166,0",13,166,1092.857143
Manacapuru,1302504,"58,0","237,0",58,237,303.3898305
Manaquiri,1302553,"10,0","21,0",10,21,100
Manaus,1302603,"678,0","4906,0",678,4906,622.6804124
Manicoré,1302702,"17,0","16,0",17,16,-5.555555556
Maraã,1302801,"9,0","126,0",9,126,1170
Maués,1302900,"85,0","297,0",85,297,246.5116279
Nhamundá,1303007,"1,0","29,0",1,29,1400
Nova Olinda do Norte,1303106,"55,0","174,0",55,174,212.5
Novo Airão,1303205,"0,0","28,0",0,28,2800
Novo Aripuanã,1303304,"10,0","70,0",10,70,545.4545455
Parintins,1303403,"328,0","426,0",328,426,29.78723404
Pauini,1303502,"5,0","12,0",5,12,116.6666667
Presidente Figueiredo,1303536,"42,0","100,0",42,100,134.8837209
Rio Preto da Eva,1303569,"10,0","66,0",10,66,509.0909091
Santa Isabel do Rio Negro,1303601,"1,0","6,0",1,6,250
Santo Antônio do Içá,1303700,"0,0","116,0",0,116,11600
São Gabriel da Cachoeira,1303809,"8,0","55,0",8,55,522.2222222
São Paulo de Olivença,1303908,"20,0","113,0",20,113,442.8571429
São Sebastião do Uatumã,1303957,"2,0","14,0",2,14,400
Silves,1304005,"13,0","11,0",13,11,-14.28571429
Tabatinga,1304062,"24,0","236,0",24,236,848
Tapauá,1304104,"6,0","57,0",6,57,728.5714286
Tefé,1304203,"86,0","476,0",86,476,448.2758621
Tonantins,1304237,"2,0","47,0",2,47,1500
Uarini,1304260,"0,0","58,0",0,58,5800
Urucará,1304302,"7,0","13,0",7,13,75
Urucurituba,1304401,"6,0","32,0",6,32,371.4285714
Amajari,1400027,"0,0","23,0",0,23,2300
Alto Alegre,1400050,"10,0","53,0",10,53,390.9090909
Boa Vista,1400100,"400,0","1630,0",400,1630,306.7331671
Bonfim,1400159,"8,0","28,0",8,28,222.2222222
Cantá,1400175,"15,0","100,0",15,100,531.25
Caracaraí,1400209,"30,0","106,0",30,106,245.1612903
Caroebe,1400233,"1,0","27,0",1,27,1300
Iracema,1400282,"4,0","18,0",4,18,280
Mucajaí,1400308,"10,0","61,0",10,61,463.6363636
Normandia,1400407,"1,0","40,0",1,40,1950
Pacaraima,1400456,"15,0","31,0",15,31,100
Rorainópolis,1400472,"21,0","143,0",21,143,554.5454545
São João da Baliza,1400506,"2,0","16,0",2,16,466.6666667
São Luiz,1400605,"6,0","18,0",6,18,171.4285714
Uiramutã,1400704,"2,0","21,0",2,21,633.3333333
Abaetetuba,1500107,"625,0","1133,0",625,1133,81.15015974
Abel Figueiredo,1500131,"3,0","36,0",3,36,825
Acará,1500206,"112,0","230,0",112,230,104.4247788
Afuá,1500305,"18,0","66,0",18,66,252.6315789
Água Azul do Norte,1500347,"9,0","271,0",9,271,2620
Alenquer,1500404,"126,0","157,0",126,157,24.40944882
Almeirim,1500503,"37,0","198,0",37,198,423.6842105
Altamira,1500602,"60,0","582,0",60,582,855.7377049
Anajás,1500701,"19,0","139,0",19,139,600
Ananindeua,1500800,"224,0","1564,0",224,1564,595.5555556
Anapu,1500859,"26,0","70,0",26,70,162.962963
Augusto Corrêa,1500909,"223,0","314,0",223,314,40.625
Aurora do Pará,1500958,"2,0","120,0",2,120,3933.333333
Aveiro,1501006,"20,0","71,0",20,71,242.8571429
Bagre,1501105,"5,0","30,0",5,30,416.6666667
Baião,1501204,"17,0","53,0",17,53,200
Bannach,1501253,"6,0","50,0",6,50,628.5714286
Barcarena,1501303,"178,0","496,0",178,496,177.6536313
Belém,1501402,"1256,0","4687,0",1256,4687,272.9514718
Belterra,1501451,"7,0","34,0",7,34,337.5
Benevides,1501501,"46,0","222,0",46,222,374.4680851
Bom Jesus do Tocantins,1501576,"0,0","22,0",0,22,2200
Bonito,1501600,"7,0","130,0",7,130,1537.5
Bragança,1501709,"23,0","523,0",23,523,2083.333333
Brasil Novo,1501725,"1,0","74,0",1,74,3650
Brejo Grande do Araguaia,1501758,"15,0","57,0",15,57,262.5
Breu Branco,1501782,"74,0","118,0",74,118,58.66666667
Breves,1501808,"166,0","480,0",166,480,188.0239521
Bujaru,1501907,"13,0","128,0",13,128,821.4285714
Cachoeira do Piriá,1501956,"0,0","48,0",0,48,4800
Cachoeira do Arari,1502004,"11,0","74,0",11,74,525
Cametá,1502103,"52,0","627,0",52,627,1084.90566
Canaã dos Carajás,1502152,"93,0","221,0",93,221,136.1702128
Capanema,1502202,"119,0","312,0",119,312,160.8333333
Capitão Poço,1502301,"43,0","84,0",43,84,93.18181818
Castanhal,1502400,"136,0","782,0",136,782,471.5328467
Chaves,1502509,"33,0","95,0",33,95,182.3529412
Colares,1502608,"35,0","49,0",35,49,38.88888889
Conceição do Araguaia,1502707,"80,0","309,0",80,309,282.7160494
Concórdia do Pará,1502756,"31,0","186,0",31,186,484.375
Cumaru do Norte,1502764,"4,0","25,0",4,25,420
Curionópolis,1502772,"87,0","70,0",87,70,-19.31818182
Curralinho,1502806,"2,0","217,0",2,217,7166.666667
Curuá,1502855,"5,0","58,0",5,58,883.3333333
Curuçá,1502905,"10,0","179,0",10,179,1536.363636
Dom Eliseu,1502939,"476,0","247,0",476,247,-48.00838574
Eldorado dos Carajás,1502954,"7,0","86,0",7,86,987.5
Faro,1503002,"8,0","26,0",8,26,200
Floresta do Araguaia,1503044,"11,0","40,0",11,40,241.6666667
Garrafão do Norte,1503077,"29,0","59,0",29,59,100
Goianésia do Pará,1503093,"44,0","279,0",44,279,522.2222222
Gurupá,1503101,"5,0","152,0",5,152,2450
Igarapé-Açu,1503200,"39,0","158,0",39,158,297.5
Igarapé-Miri,1503309,"133,0","419,0",133,419,213.4328358
Inhangapi,1503408,"31,0","71,0",31,71,125
Ipixuna do Pará,1503457,"38,0","298,0",38,298,666.6666667
Irituia,1503507,"34,0","246,0",34,246,605.7142857
Itaituba,1503606,"185,0","575,0",185,575,209.6774194
Itupiranga,1503705,"0,0","121,0",0,121,12100
