Localidade,GEOCODIGO,temp1,temp2,2007,2016,Aumento (%)
Assaré,2301604,"78,0","158,0",78,158,101.2658228
Aurora,2301703,"5,0","20,0",5,20,250
Baixio,2301802,"5,0","26,0",5,26,350
Banabuiú,2301851,"30,0","71,0",30,71,132.2580645
Barbalha,2301901,"89,0","473,0",89,473,426.6666667
Barreira,2301950,"5,0","309,0",5,309,5066.666667
Barro,2302008,"9,0","66,0",9,66,570
Barroquinha,2302057,"13,0","105,0",13,105,657.1428571
Baturité,2302107,"25,0","112,0",25,112,334.6153846
Beberibe,2302206,"76,0","255,0",76,255,232.4675325
Bela Cruz,2302305,"24,0","160,0",24,160,544
Boa Viagem,2302404,"526,0","616,0",526,616,17.07779886
Brejo Santo,2302503,"187,0","317,0",187,317,69.14893617
Camocim,2302602,"13,0","281,0",13,281,1914.285714
Campos Sales,2302701,"2,0","168,0",2,168,5533.333333
Canindé,2302800,"146,0","282,0",146,282,92.5170068
Capistrano,2302909,"38,0","201,0",38,201,417.9487179
Caridade,2303006,"5,0","55,0",5,55,833.3333333
Cariré,2303105,"5,0","158,0",5,158,2550
Caririaçu,2303204,"0,0","228,0",0,228,22800
Cariús,2303303,"25,0","65,0",25,65,153.8461538
Carnaubal,2303402,"86,0","87,0",86,87,1.149425287
Cascavel,2303501,"263,0","570,0",263,570,116.2878788
Catarina,2303600,"30,0","30,0",30,30,0
Catunda,2303659,"20,0","211,0",20,211,909.5238095
Caucaia,2303709,"490,0","1298,0",490,1298,164.5621181
Cedro,2303808,"4,0","60,0",4,60,1120
Chaval,2303907,"2,0","40,0",2,40,1266.666667
Choró,2303931,"8,0","36,0",8,36,311.1111111
Chorozinho,2303956,"97,0","172,0",97,172,76.53061224
Coreaú,2304004,"18,0","376,0",18,376,1884.210526
Crateús,2304103,"130,0","604,0",130,604,361.8320611
Crato,2304202,"75,0","666,0",75,666,777.6315789
Croatá,2304236,"100,0","195,0",100,195,94.05940594
Cruz,2304251,"47,0","76,0",47,76,60.41666667
Deputado Irapuan Pinheiro,2304269,"4,0","41,0",4,41,740
Ererê,2304277,"12,0","74,0",12,74,476.9230769
Eusébio,2304285,"57,0","491,0",57,491,748.2758621
Farias Brito,2304301,"33,0","116,0",33,116,244.1176471
Forquilha,2304350,"16,0","303,0",16,303,1688.235294
Fortaleza,2304400,"1673,0","6184,0",1673,6184,269.474313
Fortim,2304459,"37,0","135,0",37,135,257.8947368
Frecheirinha,2304509,"13,0","142,0",13,142,921.4285714
General Sampaio,2304608,"24,0","18,0",24,18,-24
Graça,2304657,"3,0","160,0",3,160,3925
Granja,2304707,"109,0","393,0",109,393,258.1818182
Granjeiro,2304806,"87,0","21,0",87,21,-75
Groaíras,2304905,"12,0","193,0",12,193,1392.307692
Guaiúba,2304954,"14,0","201,0",14,201,1246.666667
Guaraciaba do Norte,2305001,"112,0","173,0",112,173,53.98230088
Guaramiranga,2305100,"6,0","78,0",6,78,1028.571429
Hidrolândia,2305209,"62,0","83,0",62,83,33.33333333
Horizonte,2305233,"144,0","662,0",144,662,357.2413793
Ibaretama,2305266,"3,0","83,0",3,83,2000
Ibiapina,2305308,"86,0","67,0",86,67,-21.83908046
Ibicuitinga,2305332,"49,0","87,0",49,87,76
Icapuí,2305357,"35,0","115,0",35,115,222.2222222
Icó,2305407,"248,0","246,0",248,246,-0.8032128514
Iguatu,2305506,"71,0","398,0",71,398,454.1666667
Independência,2305605,"25,0","79,0",25,79,207.6923077
Ipaporanga,2305654,"16,0","118,0",16,118,600
Ipaumirim,2305704,"3,0","62,0",3,62,1475
Ipu,2305803,"100,0","314,0",100,314,211.8811881
Ipueiras,2305902,"814,0","66,0",814,66,-91.7791411
Iracema,2306009,"96,0","109,0",96,109,13.40206186
Irauçuba,2306108,"1,0","313,0",1,313,15600
Itaiçaba,2306207,"72,0","48,0",72,48,-32.87671233
Itaitinga,2306256,"12,0","309,0",12,309,2284.615385
Itapagé,2306306,"73,0","300,0",73,300,306.7567568
Itapipoca,2306405,"243,0","593,0",243,593,143.442623
Itapiúna,2306504,"2,0","122,0",2,122,4000
Itarema,2306553,"85,0","269,0",85,269,213.9534884
Itatira,2306603,"62,0","530,0",62,530,742.8571429
Jaguaretama,2306702,"21,0","45,0",21,45,109.0909091
Jaguaribara,2306801,"49,0","74,0",49,74,50
Jaguaribe,2306900,"129,0","366,0",129,366,182.3076923
Jaguaruana,2307007,"44,0","119,0",44,119,166.6666667
Jardim,2307106,"82,0","186,0",82,186,125.3012048
Jati,2307205,"6,0","37,0",6,37,442.8571429
Jijoca de Jericoacoara,2307254,"24,0","84,0",24,84,240
Juazeiro do Norte,2307304,"366,0","1112,0",366,1112,203.2697548
Jucás,2307403,"9,0","271,0",9,271,2620
Lavras da Mangabeira,2307502,"142,0","63,0",142,63,-55.24475524
Limoeiro do Norte,2307601,"10,0","204,0",10,204,1763.636364
Madalena,2307635,"187,0","56,0",187,56,-69.68085106
Maracanaú,2307650,"171,0","1265,0",171,1265,636.0465116
Maranguape,2307700,"241,0","482,0",241,482,99.58677686
Marco,2307809,"23,0","128,0",23,128,437.5
Martinópole,2307908,"20,0","36,0",20,36,76.19047619
Massapê,2308005,"132,0","211,0",132,211,59.39849624
Mauriti,2308104,"250,0","290,0",250,290,15.93625498
Meruoca,2308203,"79,0","143,0",79,143,80
Milagres,2308302,"11,0","146,0",11,146,1125
Milhã,2308351,"43,0","45,0",43,45,4.545454545
Miraíma,2308377,"77,0","99,0",77,99,28.20512821
Missão Velha,2308401,"108,0","420,0",108,420,286.2385321
Mombaça,2308500,"10,0","76,0",10,76,600
Monsenhor Tabosa,2308609,"121,0","102,0",121,102,-15.57377049
Morada Nova,2308708,"57,0","471,0",57,471,713.7931034
Moraújo,2308807,"29,0","94,0",29,94,216.6666667
Morrinhos,2308906,"13,0","148,0",13,148,964.2857143
Mucambo,2309003,"22,0","44,0",22,44,95.65217391
Mulungu,2309102,"31,0","28,0",31,28,-9.375
Nova Olinda,2309201,"3,0","51,0",3,51,1200
Nova Russas,2309300,"22,0","157,0",22,157,586.9565217
Novo Oriente,2309409,"112,0","285,0",112,285,153.0973451
Ocara,2309458,"62,0","234,0",62,234,273.015873
Orós,2309508,"2,0","90,0",2,90,2933.333333
Pacajus,2309607,"273,0","406,0",273,406,48.54014599
Pacatuba,2309706,"22,0","257,0",22,257,1021.73913
Pacoti,2309805,"10,0","51,0",10,51,372.7272727
Pacujá,2309904,"24,0","47,0",24,47,92
Palhano,2310001,"7,0","115,0",7,115,1350
Palmácia,2310100,"222,0","83,0",222,83,-62.33183857
Paracuru,2310209,"95,0","123,0",95,123,29.16666667
Paraipaba,2310258,"95,0","119,0",95,119,25
Parambu,2310308,"90,0","246,0",90,246,171.4285714
Paramoti,2310407,"36,0","60,0",36,60,64.86486486
Pedra Branca,2310506,"186,0","218,0",186,218,17.11229947
Penaforte,2310605,"114,0","28,0",114,28,-74.7826087
Pentecoste,2310704,"446,0","285,0",446,285,-36.01789709
Pereiro,2310803,"0,0","177,0",0,177,17700
Pindoretama,2310852,"33,0","110,0",33,110,226.4705882
Piquet Carneiro,2310902,"4,0","64,0",4,64,1200
Pires Ferreira,2310951,"0,0","52,0",0,52,5200
Poranga,2311009,"30,0","64,0",30,64,109.6774194
Porteiras,2311108,"1,0","71,0",1,71,3500
Potengi,2311207,"0,0","4,0",0,4,400
Potiretama,2311231,"3,0","58,0",3,58,1375
Quiterianópolis,2311264,"40,0","75,0",40,75,85.36585366
Quixadá,2311306,"179,0","710,0",179,710,295
Quixelô,2311355,"33,0","99,0",33,99,194.1176471
Quixeramobim,2311405,"63,0","895,0",63,895,1300
Quixeré,2311504,"6,0","103,0",6,103,1385.714286
Redenção,2311603,"98,0","102,0",98,102,4.04040404
Reriutaba,2311702,"33,0","72,0",33,72,114.7058824
Russas,2311801,"191,0","418,0",191,418,118.2291667
Saboeiro,2311900,"3,0","55,0",3,55,1300
Salitre,2311959,"10,0","56,0",10,56,418.1818182
Santana do Acaraú,2312007,"65,0","99,0",65,99,51.51515152
Santana do Cariri,2312106,"32,0","58,0",32,58,78.78787879
Santa Quitéria,2312205,"64,0","275,0",64,275,324.6153846
São Benedito,2312304,"24,0","91,0",24,91,268
São Gonçalo do Amarante,2312403,"88,0","294,0",88,294,231.4606742
São João do Jaguaribe,2312502,"4,0","39,0",4,39,700
São Luís do Curu,2312601,"21,0","32,0",21,32,50
Senador Pompeu,2312700,"303,0","116,0",303,116,-61.51315789
Senador Sá,2312809,"38,0","68,0",38,68,76.92307692
Sobral,2312908,"511,0","1523,0",511,1523,197.65625
Solonópole,2313005,"18,0","84,0",18,84,347.3684211
Tabuleiro do Norte,2313104,"23,0","134,0",23,134,462.5
Tamboril,2313203,"43,0","88,0",43,88,102.2727273
Tarrafas,2313252,"2,0","37,0",2,37,1166.666667
Tauá,2313302,"174,0","402,0",174,402,130.2857143
Tejuçuoca,2313351,"411,0","92,0",411,92,-77.42718447
Tianguá,2313401,"52,0","425,0",52,425,703.7735849
Trairi,2313500,"332,0","286,0",332,286,-13.81381381
Tururu,2313559,"74,0","104,0",74,104,40
Ubajara,2313609,"123,0","285,0",123,285,130.6451613
Umari,2313708,"6,0","29,0",6,29,328.5714286
Umirim,2313757,"15,0","69,0",15,69,337.5
Uruburetama,2313807,"15,0","88,0",15,88,456.25
Uruoca,2313906,"46,0","114,0",46,114,144.6808511
Varjota,2313955,"33,0","62,0",33,62,85.29411765
Várzea Alegre,2314003,"50,0","163,0",50,163,221.5686275
Viçosa do Ceará,2314102,"117,0","326,0",117,326,177.1186441
Acari,2400109,"56,0","110,0",56,110,94.73684211
Açu,2400208,"33,0","170,0",33,170,402.9411765
Afonso Bezerra,2400307,"23,0","46,0",23,46,95.83333333
Água Nova,2400406,"0,0","9,0",0,9,900
Alexandria,2400505,"11,0","78,0",11,78,558.3333333
Almino Afonso,2400604,"9,0","8,0",9,8,-10
Alto do Rodrigues,2400703,"13,0","33,0",13,33,142.8571429
Angicos,2400802,"27,0","44,0",27,44,60.71428571
Antônio Martins,2400901,"2,0","20,0",2,20,600
Apodi,2401008,"50,0","254,0",50,254,400
Areia Branca,2401107,"22,0","166,0",22,166,626.0869565
Arês,2401206,"14,0","100,0",14,100,573.3333333
Augusto Severo,2401305,"2,0","26,0",2,26,800
Baía Formosa,2401404,"8,0","65,0",8,65,633.3333333
Baraúna,2401453,"12,0","47,0",12,47,269.2307692
Barcelona,2401503,"8,0","13,0",8,13,55.55555556
Bento Fernandes,2401602,"12,0","13,0",12,13,7.692307692
Bodó,2401651,"5,0","20,0",5,20,250
Bom Jesus,2401701,"8,0","28,0",8,28,222.2222222
Brejinho,2401800,"12,0","72,0",12,72,461.5384615
Caiçara do Norte,2401859,"2,0","13,0",2,13,366.6666667
Caiçara do Rio do Vento,2401909,"0,0","15,0",0,15,1500
Caicó,2402006,"145,0","352,0",145,352,141.7808219
Campo Redondo,2402105,"7,0","104,0",7,104,1212.5
Canguaretama,2402204,"34,0","133,0",34,133,282.8571429
Caraúbas,2402303,"24,0","116,0",24,116,368
Carnaúba dos Dantas,2402402,"12,0","25,0",12,25,100
Carnaubais,2402501,"5,0","18,0",5,18,216.6666667
Ceará-Mirim,2402600,"64,0","371,0",64,371,472.3076923
Cerro Corá,2402709,"10,0","95,0",10,95,772.7272727
Coronel Ezequiel,2402808,"5,0","23,0",5,23,300
Coronel João Pessoa,2402907,"1,0","3,0",1,3,100
Cruzeta,2403004,"22,0","45,0",22,45,100
Currais Novos,2403103,"121,0","209,0",121,209,72.13114754
Doutor Severiano,2403202,"5,0","44,0",5,44,650
Parnamirim,2403251,"259,0","787,0",259,787,203.0769231
Encanto,2403301,"11,0","34,0",11,34,191.6666667
Equador,2403400,"22,0","38,0",22,38,69.56521739
Espírito Santo,2403509,"4,0","19,0",4,19,300
Extremoz,2403608,"25,0","147,0",25,147,469.2307692
Felipe Guerra,2403707,"99,0","31,0",99,31,-68
Fernando Pedroza,2403756,"8,0","10,0",8,10,22.22222222
Florânia,2403806,"32,0","53,0",32,53,63.63636364
Francisco Dantas,2403905,"8,0","68,0",8,68,666.6666667
Frutuoso Gomes,2404002,"8,0","23,0",8,23,166.6666667
Galinhos,2404101,"2,0","5,0",2,5,100
Goianinha,2404200,"24,0","208,0",24,208,736
Governador Dix-Sept Rosado,2404309,"23,0","74,0",23,74,212.5
Grossos,2404408,"9,0","40,0",9,40,310
Guamaré,2404507,"30,0","77,0",30,77,151.6129032
Ielmo Marinho,2404606,"12,0","65,0",12,65,407.6923077
Ipanguaçu,2404705,"123,0","97,0",123,97,-20.96774194
Ipueira,2404804,"1,0","5,0",1,5,200
Itajá,2404853,"10,0","43,0",10,43,300
Itaú,2404903,"6,0","42,0",6,42,514.2857143
Jaçanã,2405009,"11,0","56,0",11,56,375
Jandaíra,2405108,"3,0","10,0",3,10,175
Janduís,2405207,"17,0","19,0",17,19,11.11111111
Januário Cicco,2405306,"2,0","39,0",2,39,1233.333333
Japi,2405405,"11,0","18,0",11,18,58.33333333
Jardim de Angicos,2405504,"2,0","7,0",2,7,166.6666667
Jardim de Piranhas,2405603,"17,0","72,0",17,72,305.5555556
Jardim do Seridó,2405702,"43,0","65,0",43,65,50
João Câmara,2405801,"7,0","65,0",7,65,725
João Dias,2405900,"4,0","4,0",4,4,0
José da Penha,2406007,"0,0","21,0",0,21,2100
Jucurutu,2406106,"24,0","84,0",24,84,240
Jundiá,2406155,"0,0","5,0",0,5,500
Lagoa d'Anta,2406205,"22,0","31,0",22,31,39.13043478
Lagoa de Pedras,2406304,"10,0","22,0",10,22,109.0909091
Lagoa de Velhos,2406403,"2,0","16,0",2,16,466.6666667
Lagoa Nova,2406502,"68,0","239,0",68,239,247.826087
Lagoa Salgada,2406601,"13,0","24,0",13,24,78.57142857
Lajes,2406700,"30,0","60,0",30,60,96.77419355
Lajes Pintadas,2406809,"1,0","17,0",1,17,800
Lucrécia,2406908,"6,0","7,0",6,7,14.28571429
Luís Gomes,2407005,"27,0","30,0",27,30,10.71428571
Macaíba,2407104,"120,0","276,0",120,276,128.9256198
Macau,2407203,"21,0","147,0",21,147,572.7272727
Major Sales,2407252,"12,0","19,0",12,19,53.84615385
Marcelino Vieira,2407302,"2,0","45,0",2,45,1433.333333
Martins,2407401,"11,0","44,0",11,44,275
Maxaranguape,2407500,"2,0","48,0",2,48,1533.333333
Messias Targino,2407609,"10,0","13,0",10,13,27.27272727
Montanhas,2407708,"17,0","74,0",17,74,316.6666667
Monte Alegre,2407807,"36,0","75,0",36,75,105.4054054
Monte das Gameleiras,2407906,"7,0","12,0",7,12,62.5
Mossoró,2408003,"385,0","1562,0",385,1562,304.9222798
Natal,2408102,"1156,0","3703,0",1156,3703,220.1382887
Nísia Floresta,2408201,"21,0","120,0",21,120,450
Nova Cruz,2408300,"56,0","159,0",56,159,180.7017544
Olho-d'Água do Borges,2408409,"7,0","11,0",7,11,50
Ouro Branco,2408508,"4,0","12,0",4,12,160
Paraná,2408607,"2,0","11,0",2,11,300
Paraú,2408706,"4,0","28,0",4,28,480
Parazinho,2408805,"0,0","68,0",0,68,6800
Parelhas,2408904,"28,0","128,0",28,128,344.8275862
Rio do Fogo,2408953,"0,0","25,0",0,25,2500
Passa e Fica,2409100,"15,0","54,0",15,54,243.75
Passagem,2409209,"4,0","7,0",4,7,60
Patu,2409308,"27,0","69,0",27,69,150
Santa Maria,2409332,"7,0","10,0",7,10,37.5
Pau dos Ferros,2409407,"33,0","141,0",33,141,317.6470588
Pedra Grande,2409506,"3,0","12,0",3,12,225
Pedra Preta,2409605,"3,0","14,0",3,14,275
Pedro Avelino,2409704,"12,0","17,0",12,17,38.46153846
Pedro Velho,2409803,"9,0","27,0",9,27,180
Pendências,2409902,"10,0","27,0",10,27,154.5454545
Pilões,2410009,"8,0","34,0",8,34,288.8888889
Poço Branco,2410108,"16,0","24,0",16,24,47.05882353
Portalegre,2410207,"9,0","34,0",9,34,250
Porto do Mangue,2410256,"3,0","21,0",3,21,450
Presidente Juscelino,2410306,"4,0","62,0",4,62,1160
Pureza,2410405,"9,0","28,0",9,28,190
Rafael Fernandes,2410504,"4,0","7,0",4,7,60
Rafael Godeiro,2410603,"4,0","15,0",4,15,220
Riacho da Cruz,2410702,"1,0","10,0",1,10,450
Riacho de Santana,2410801,"6,0","6,0",6,6,0
Riachuelo,2410900,"2,0","59,0",2,59,1900
Rodolfo Fernandes,2411007,"9,0","21,0",9,21,120
Tibau,2411056,"17,0","77,0",17,77,333.3333333
Ruy Barbosa,2411106,"7,0","26,0",7,26,237.5
Santa Cruz,2411205,"16,0","215,0",16,215,1170.588235
Santana do Matos,2411403,"23,0","20,0",23,20,-12.5
Santana do Seridó,2411429,"8,0","11,0",8,11,33.33333333
Santo Antônio,2411502,"19,0","100,0",19,100,405
São Bento do Norte,2411601,"2,0","13,0",2,13,366.6666667
São Bento do Trairí,2411700,"0,0","18,0",0,18,1800
São Fernando,2411809,"0,0","12,0",0,12,1200
São Francisco do Oeste,2411908,"1,0","17,0",1,17,800
São Gonçalo do Amarante,2412005,"113,0","322,0",113,322,183.3333333
São João do Sabugi,2412104,"21,0","27,0",21,27,27.27272727
São José de Mipibu,2412203,"26,0","359,0",26,359,1233.333333
São José do Campestre,2412302,"12,0","159,0",12,159,1130.769231
São José do Seridó,2412401,"16,0","16,0",16,16,0
São Miguel,2412500,"34,0","88,0",34,88,154.2857143
São Miguel do Gostoso,2412559,"0,0","21,0",0,21,2100
São Paulo do Potengi,2412609,"11,0","143,0",11,143,1100
São Pedro,2412708,"21,0","42,0",21,42,95.45454545
São Rafael,2412807,"5,0","26,0",5,26,350
São Tomé,2412906,"38,0","99,0",38,99,156.4102564
São Vicente,2413003,"21,0","49,0",21,49,127.2727273
Senador Elói de Souza,2413102,"5,0","17,0",5,17,200
Senador Georgino Avelino,2413201,"0,0","6,0",0,6,600
Serra de São Bento,2413300,"8,0","11,0",8,11,33.33333333
Serra do Mel,2413359,"10,0","24,0",10,24,127.2727273
Serra Negra do Norte,2413409,"6,0","35,0",6,35,414.2857143
Serrinha,2413508,"4,0","68,0",4,68,1280
Serrinha dos Pintos,2413557,"7,0","12,0",7,12,62.5
Severiano Melo,2413607,"10,0","22,0",10,22,109.0909091
Sítio Novo,2413706,"20,0","28,0",20,28,38.0952381
Taboleiro Grande,2413805,"0,0","23,0",0,23,2300
Taipu,2413904,"6,0","18,0",6,18,171.4285714
Tangará,2414001,"24,0","205,0",24,205,724
Tenente Ananias,2414100,"2,0","35,0",2,35,1100
Tenente Laurentino Cruz,2414159,"7,0","42,0",7,42,437.5
Tibau do Sul,2414209,"11,0","32,0",11,32,175
Timbaúba dos Batistas,2414308,"7,0","31,0",7,31,300
Touros,2414407,"17,0","107,0",17,107,500
Triunfo Potiguar,2414456,"9,0","10,0",9,10,10
Umarizal,2414506,"9,0","9,0",9,9,0
Upanema,2414605,"2,0","65,0",2,65,2100
Várzea,2414704,"13,0","29,0",13,29,114.2857143
Venha-Ver,2414753,"16,0","23,0",16,23,41.17647059
Vera Cruz,2414803,"16,0","68,0",16,68,305.8823529
Viçosa,2414902,"15,0","5,0",15,5,-62.5
Vila Flor,2415008,"7,0","6,0",7,6,-12.5
Água Branca,2500106,"0,0","34,0",0,34,3400
Aguiar,2500205,"0,0","41,0",0,41,4100
Alagoa Grande,2500304,"9,0","124,0",9,124,1150
Alagoa Nova,2500403,"86,0","160,0",86,160,85.05747126
Alagoinha,2500502,"4,0","45,0",4,45,820
Alcantil,2500536,"3,0","27,0",3,27,600
Algodão de Jandaíra,2500577,"0,0","9,0",0,9,900
Alhandra,2500601,"49,0","135,0",49,135,172
São João do Rio do Peixe,2500700,"71,0","104,0",71,104,45.83333333
Amparo,2500734,"0,0","2,0",0,2,200
Aparecida,2500775,"1,0","34,0",1,34,1650
Araçagi,2500809,"5,0","40,0",5,40,583.3333333
Arara,2500908,"2,0","15,0",2,15,433.3333333
Araruna,2501005,"6,0","67,0",6,67,871.4285714
Areia,2501104,"24,0","49,0",24,49,100
Areia de Baraúnas,2501153,"1,0","10,0",1,10,450
Areial,2501203,"11,0","32,0",11,32,175
Aroeiras,2501302,"1,0","17,0",1,17,800
Assunção,2501351,"13,0","25,0",13,25,85.71428571
Baía da Traição,2501401,"11,0","47,0",11,47,300
Bananeiras,2501500,"19,0","69,0",19,69,250
Baraúna,2501534,"0,0","14,0",0,14,1400
Barra de Santana,2501575,"16,0","55,0",16,55,229.4117647
Barra de Santa Rosa,2501609,"0,0","39,0",0,39,3900
Barra de São Miguel,2501708,"3,0","39,0",3,39,900
Bayeux,2501807,"272,0","758,0",272,758,178.021978
Belém,2501906,"16,0","121,0",16,121,617.6470588
Belém do Brejo do Cruz,2502003,"12,0","72,0",12,72,461.5384615
Bernardino Batista,2502052,"20,0","18,0",20,18,-9.523809524
Boa Ventura,2502102,"0,0","28,0",0,28,2800
Boa Vista,2502151,"3,0","63,0",3,63,1500
Bom Jesus,2502201,"0,0","24,0",0,24,2400
Bom Sucesso,2502300,"3,0","23,0",3,23,500
Bonito de Santa Fé,2502409,"8,0","22,0",8,22,155.5555556
Boqueirão,2502508,"4,0","61,0",4,61,1140
Igaracy,2502607,"0,0","24,0",0,24,2400
Borborema,2502706,"3,0","26,0",3,26,575
Brejo do Cruz,2502805,"109,0","52,0",109,52,-51.81818182
Brejo dos Santos,2502904,"15,0","196,0",15,196,1131.25
Caaporã,2503001,"13,0","165,0",13,165,1085.714286
Cabaceiras,2503100,"4,0","23,0",4,23,380
Cabedelo,2503209,"128,0","277,0",128,277,115.503876
Cachoeira dos Índios,2503308,"3,0","43,0",3,43,1000
Cacimba de Areia,2503407,"1,0","5,0",1,5,200
Cacimba de Dentro,2503506,"0,0","75,0",0,75,7500
Cacimbas,2503555,"7,0","76,0",7,76,862.5
Caiçara,2503605,"5,0","45,0",5,45,666.6666667
Cajazeiras,2503704,"100,0","227,0",100,227,125.7425743
Cajazeirinhas,2503753,"1,0","21,0",1,21,1000
Caldas Brandão,2503803,"1,0","41,0",1,41,2000
Camalaú,2503902,"41,0","6,0",41,6,-83.33333333
Campina Grande,2504009,"286,0","1856,0",286,1856,547.0383275
Capim,2504033,"12,0","66,0",12,66,415.3846154
Caraúbas,2504074,"11,0","10,0",11,10,-8.333333333
Carrapateira,2504108,"24,0","15,0",24,15,-36
Casserengue,2504157,"1,0","23,0",1,23,1100
Catingueira,2504207,"2,0","8,0",2,8,200
Catolé do Rocha,2504306,"8,0","108,0",8,108,1111.111111
Caturité,2504355,"3,0","35,0",3,35,800
Conceição,2504405,"1,0","68,0",1,68,3350
Condado,2504504,"125,0","40,0",125,40,-67.46031746
Conde,2504603,"15,0","130,0",15,130,718.75
Congo,2504702,"9,0","54,0",9,54,450
Coremas,2504801,"23,0","40,0",23,40,70.83333333
Coxixola,2504850,"0,0","5,0",0,5,500
Cruz do Espírito Santo,2504900,"20,0","122,0",20,122,485.7142857
Cubati,2505006,"2,0","30,0",2,30,933.3333333
Cuité,2505105,"45,0","130,0",45,130,184.7826087
Cuitegi,2505204,"0,0","14,0",0,14,1400
Cuité de Mamanguape,2505238,"1,0","36,0",1,36,1750
Curral de Cima,2505279,"5,0","22,0",5,22,283.3333333
Curral Velho,2505303,"55,0","5,0",55,5,-89.28571429
Damião,2505352,"1,0","22,0",1,22,1050
Desterro,2505402,"2,0","40,0",2,40,1266.666667
Vista Serrana,2505501,"0,0","5,0",0,5,500
Diamante,2505600,"3,0","24,0",3,24,525
Dona Inês,2505709,"5,0","56,0",5,56,850
Duas Estradas,2505808,"1,0","19,0",1,19,900
Emas,2505907,"26,0","8,0",26,8,-66.66666667
Esperança,2506004,"0,0","109,0",0,109,10900
Fagundes,2506103,"32,0","77,0",32,77,136.3636364
Frei Martinho,2506202,"15,0","9,0",15,9,-37.5
Gado Bravo,2506251,"1,0","15,0",1,15,700
Guarabira,2506301,"91,0","209,0",91,209,128.2608696
Gurinhém,2506400,"0,0","48,0",0,48,4800
Gurjão,2506509,"0,0","27,0",0,27,2700
Ibiara,2506608,"10,0","23,0",10,23,118.1818182
Imaculada,2506707,"83,0","77,0",83,77,-7.142857143
Ingá,2506806,"1,0","67,0",1,67,3300
Itabaiana,2506905,"22,0","86,0",22,86,278.2608696
Itaporanga,2507002,"19,0","64,0",19,64,225
Itapororoca,2507101,"4,0","46,0",4,46,840
Itatuba,2507200,"4,0","55,0",4,55,1020
Jacaraú,2507309,"21,0","137,0",21,137,527.2727273
Jericó,2507408,"8,0","39,0",8,39,344.4444444
João Pessoa,2507507,"702,0","2184,0",702,2184,210.8108108
Juarez Távora,2507606,"0,0","24,0",0,24,2400
Juazeirinho,2507705,"8,0","127,0",8,127,1322.222222
Junco do Seridó,2507804,"2,0","18,0",2,18,533.3333333
Juripiranga,2507903,"66,0","42,0",66,42,-35.82089552
Juru,2508000,"17,0","71,0",17,71,300
Lagoa,2508109,"0,0","13,0",0,13,1300
Lagoa de Dentro,2508208,"158,0","263,0",158,263,66.03773585
Lagoa Seca,2508307,"3,0","92,0",3,92,2225
Lastro,2508406,"6,0","21,0",6,21,214.2857143
Livramento,2508505,"36,0","24,0",36,24,-32.43243243
Logradouro,2508554,"0,0","23,0",0,23,2300
Lucena,2508604,"27,0","112,0",27,112,303.5714286
Mãe d'Água,2508703,"2,0","10,0",2,10,266.6666667
Malta,2508802,"10,0","73,0",10,73,572.7272727
Mamanguape,2508901,"9,0","167,0",9,167,1580
Manaíra,2509008,"5,0","50,0",5,50,750
Marcação,2509057,"0,0","42,0",0,42,4200
Mari,2509107,"1,0","58,0",1,58,2850
Marizópolis,2509156,"2,0","34,0",2,34,1066.666667
Massaranduba,2509206,"40,0","74,0",40,74,82.92682927
Mataraca,2509305,"6,0","20,0",6,20,200
Matinhas,2509339,"1,0","11,0",1,11,500
Mato Grosso,2509370,"4,0","13,0",4,13,180
Maturéia,2509396,"8,0","31,0",8,31,255.5555556
Mogeiro,2509404,"22,0","42,0",22,42,86.95652174
Montadas,2509503,"7,0","29,0",7,29,275
Monte Horebe,2509602,"0,0","17,0",0,17,1700
Monteiro,2509701,"19,0","178,0",19,178,795
Mulungu,2509800,"0,0","23,0",0,23,2300
Natuba,2509909,"0,0","62,0",0,62,6200
Nazarezinho,2510006,"11,0","34,0",11,34,191.6666667
Nova Floresta,2510105,"8,0","46,0",8,46,422.2222222
Nova Olinda,2510204,"5,0","24,0",5,24,316.6666667
Nova Palmeira,2510303,"6,0","23,0",6,23,242.8571429
Olho d'Água,2510402,"0,0","15,0",0,15,1500
Olivedos,2510501,"1,0","48,0",1,48,2350
Ouro Velho,2510600,"0,0","8,0",0,8,800
Parari,2510659,"3,0","4,0",3,4,25
Passagem,2510709,"1,0","16,0",1,16,750
Patos,2510808,"552,0","344,0",552,344,-37.61301989
Paulista,2510907,"3,0","35,0",3,35,800
Pedra Branca,2511004,"17,0","14,0",17,14,-16.66666667
Pedra Lavrada,2511103,"4,0","30,0",4,30,520
Pedras de Fogo,2511202,"24,0","111,0",24,111,348
Piancó,2511301,"3,0","79,0",3,79,1900
Picuí,2511400,"55,0","111,0",55,111,100
Pilar,2511509,"15,0","29,0",15,29,87.5
Pilões,2511608,"0,0","22,0",0,22,2200
Pilõezinhos,2511707,"0,0","10,0",0,10,1000
Pirpirituba,2511806,"14,0","39,0",14,39,166.6666667
Pitimbu,2511905,"4,0","36,0",4,36,640
Pocinhos,2512002,"6,0","33,0",6,33,385.7142857
Poço Dantas,2512036,"1,0","26,0",1,26,1250
Poço de José de Moura,2512077,"0,0","15,0",0,15,1500
Pombal,2512101,"49,0","272,0",49,272,446
Prata,2512200,"0,0","8,0",0,8,800
Princesa Isabel,2512309,"11,0","72,0",11,72,508.3333333
Puxinanã,2512408,"1,0","46,0",1,46,2250
